"","word","freq"
"theatre","theatre",6
"spring","spring",6
"alice","alice",6
"give","give",6
"fairy","fairy",6
"past","past",6
"japan","japan",6
"point","point",6
"tall","tall",6
"hat","hat",6
"complete","complete",6
"army","army",6
"forgotten","forgotten",6
"united","united",6
"hearts","hearts",6
"gary","gary",6
"album","album",6
"crazy","crazy",6
"talk","talk",6
"care","care",6
"kung","kung",6
"amazon","amazon",6
"date","date",6
"dan","dan",6
"rolling","rolling",6
"zero","zero",6
"wanted","wanted",6
"winter","winter",6
"close","close",6
"want","want",6
"untold","untold",6
"heist","heist",6
"chocolate","chocolate",6
"martin","martin",6
"tunes","tunes",6
"away","away",6
"reddy","reddy",6
"alive","alive",6
"odd","odd",6
"japanese","japanese",6
"tide","tide",6
"mein","mein",6
"jurassic","jurassic",6
"cowboy","cowboy",6
"david","david",6
"galaxy","galaxy",6
"beneath","beneath",6
"symphony","symphony",6
"extended","extended",6
"gone","gone",6
"jackson","jackson",6
"scene","scene",6
"ninja","ninja",6
"danger","danger",6
"knows","knows",6
"walk","walk",6
"brother","brother",6
"glass","glass",6
"yellow","yellow",6
"sharknado","sharknado",6
"seven","seven",6
"daughter","daughter",6
"wall","wall",6
"lower","lower",6
"jane","jane",6
"wolves","wolves",6
"look","look",6
"dil","dil",6
"catch","catch",6
"justice","justice",6
"guys","guys",6
"doug","doug",6
"evening","evening",6
"crash","crash",6
"angels","angels",6
"glow","glow",6
"band","band",6
"sister","sister",6
"elizabeth","elizabeth",6
"nba","nba",6
"desire","desire",6
"frontier","frontier",6
"blues","blues",6
"trek","trek",6
"clarks","clarks",6
"higgins","higgins",6
"sherlock","sherlock",6
"prema","prema",5
"keep","keep",5
"mysteries","mysteries",5
"stay","stay",5
"hello","hello",5
"patrol","patrol",5
"wind","wind",5
"shorts","shorts",5
"bright","bright",5
"enemies","enemies",5
"priest","priest",5
"word","word",5
"sword","sword",5
"psycho","psycho",5
"lovers","lovers",5
"brooklyn","brooklyn",5
"retribution","retribution",5
"creek","creek",5
"storage","storage",5
"prey","prey",5
"paper","paper",5
"voyage","voyage",5
"passion","passion",5
"yes","yes",5
"reunion","reunion",5
"hawk","hawk",5
"butch","butch",5
"vegas","vegas",5
"list","list",5
"doors","doors",5
"break","break",5
"storm","storm",5
"everything","everything",5
"ready","ready",5
"language","language",5
"collection","collection",5
"thing","thing",5
"modern","modern",5
"single","single",5
"married","married",5
"mrs","mrs",5
"fight","fight",5
"bottom","bottom",5
"dynasty","dynasty",5
"mario","mario",5
"dub","dub",5
"remastered","remastered",5
"win","win",5
"hunter","hunter",5
"chance","chance",5
"pirate","pirate",5
"alley","alley",5
"evangelion","evangelion",5
"along","along",5
"indian","indian",5
"bedtime","bedtime",5
"fernando","fernando",5
"flesh","flesh",5
"social","social",5
"enchantimals","enchantimals",5
"another","another",5
"uprising","uprising",5
"surviving","surviving",5
"talking","talking",5
"farewell","farewell",5
"eyes","eyes",5
"strike","strike",5
"birds","birds",5
"madness","madness",5
"intentions","intentions",5
"note","note",5
"uncle","uncle",5
"anxiety","anxiety",5
"church","church",5
"nicole","nicole",5
"rules","rules",5
"middle","middle",5
"make","make",5
"thousand","thousand",5
"bridge","bridge",5
"private","private",5
"jay","jay",5
"falls","falls",5
"thriller","thriller",5
"dino","dino",5
"brian","brian",5
"numbers","numbers",5
"babybus","babybus",5
"invasion","invasion",5
"whats","whats",5
"horse","horse",5
"sculpt","sculpt",5
"balance","balance",5
"saving","saving",5
"guns","guns",5
"chisel","chisel",5
"upper","upper",5
"happiness","happiness",5
"cities","cities",5
"empire","empire",5
"catching","catching",5
"dancer","dancer",5
"valentines","valentines",5
"gang","gang",5
"abc","abc",5
"lie","lie",5
"papa","papa",5
"mom","mom",5
"henry","henry",5
"meets","meets",5
"circle","circle",5
"price","price",5
"dear","dear",5
"paint","paint",5
"shop","shop",5
"third","third",5
"castle","castle",5
"gospel","gospel",5
"center","center",5
"waterfalls","waterfalls",5
"beaches","beaches",5
"psychic","psychic",5
"almost","almost",5
"bars","bars",5
"favorite","favorite",5
"serial","serial",5
"hawaii","hawaii",5
"stolen","stolen",5
"female","female",5
"plan","plan",5
"sam","sam",5
"rainbow","rainbow",5
"george","george",5
"nazi","nazi",5
"sniper","sniper",5
"will","will",5
"resort","resort",5
"crew","crew",5
"kgf","kgf",5
"jokes","jokes",5
"ian","ian",5
"mars","mars",5
"change","change",5
"lot","lot",5
"ufotv","ufotv",5
"jazz","jazz",5
"flowers","flowers",5
"maker","maker",5
"prisoner","prisoner",5
"lights","lights",5
"chamber","chamber",5
"dice","dice",5
"boyfriend","boyfriend",5
"ever","ever",5
"bruce","bruce",5
"sight","sight",5
"daughters","daughters",5
"fathers","fathers",5
"ranger","ranger",5
"anatomy","anatomy",5
"christian","christian",5
"doc","doc",5
"desert","desert",5
"tarzan","tarzan",5
"company","company",5
"bought","bought",5
"pokémon","pokémon",5
"gaynor","gaynor",5
"express","express",5
"fatal","fatal",5
"shaolin","shaolin",5
"western","western",5
"underground","underground",4
"control","control",4
"husband","husband",4
"wife","wife",4
"crossing","crossing",4
"conspiracy","conspiracy",4
"turn","turn",4
"yuvarathnaa","yuvarathnaa",4
"lea","lea",4
"annie","annie",4
"naa","naa",4
"strangers","strangers",4
"mumbai","mumbai",4
"saga","saga",4
"hits","hits",4
"clancys","clancys",4
"solar","solar",4
"investigation","investigation",4
"borat","borat",4
"pure","pure",4
"rogue","rogue",4
"phantom","phantom",4
"mission","mission",4
"apocalypse","apocalypse",4
"ape","ape",4
"episode","episode",4
"lincoln","lincoln",4
"shoes","shoes",4
"chicken","chicken",4
"cannibal","cannibal",4
"aur","aur",4
"losing","losing",4
"lust","lust",4
"singing","singing",4
"johny","johny",4
"exit","exit",4
"disco","disco",4
"short","short",4
"wheel","wheel",4
"touch","touch",4
"boat","boat",4
"fate","fate",4
"ufos","ufos",4
"genius","genius",4
"eagles","eagles",4
"states","states",4
"promise","promise",4
"tiny","tiny",4
"taken","taken",4
"funeral","funeral",4
"calm","calm",4
"tik","tik",4
"anu","anu",4
"gate","gate",4
"descent","descent",4
"motel","motel",4
"bush","bush",4
"lonely","lonely",4
"video","video",4
"rose","rose",4
"latin","latin",4
"jaan","jaan",4
"virus","virus",4
"forbidden","forbidden",4
"every","every",4
"cafe","cafe",4
"brain","brain",4
"summertime","summertime",4
"going","going",4
"society","society",4
"billy","billy",4
"hate","hate",4
"gun","gun",4
"mistress","mistress",4
"joy","joy",4
"county","county",4
"saturday","saturday",4
"inc","inc",4
"corn","corn",4
"village","village",4
"removing","removing",4
"well","well",4
"glove","glove",4
"los","los",4
"outlaw","outlaw",4
"floor","floor",4
"always","always",4
"spies","spies",4
"eggs","eggs",4
"better","better",4
"julia","julia",4
"quarantine","quarantine",4
"eight","eight",4
"standup","standup",4
"karma","karma",4
"lisa","lisa",4
"jagadish","jagadish",4
"tuck","tuck",4
"nancy","nancy",4
"academy","academy",4
"trial","trial",4
"bell","bell",4
"savage","savage",4
"toddler","toddler",4
"lego","lego",4
"flip","flip",4
"eva","eva",4
"prophecy","prophecy",4
"times","times",4
"dive","dive",4
"killed","killed",4
"rangers","rangers",4
"surrender","surrender",4
"standing","standing",4
"legends","legends",4
"thalaivii","thalaivii",4
"paul","paul",4
"words","words",4
"peter","peter",4
"tommy","tommy",4
"enna","enna",4
"sons","sons",4
"shapes","shapes",4
"jackie","jackie",4
"roads","roads",4
"lane","lane",4
"table","table",4
"marine","marine",4
"odds","odds",4
"humpty","humpty",4
"chronicles","chronicles",4
"global","global",4
"deal","deal",4
"jill","jill",4
"gina","gina",4
"snowy","snowy",4
"low","low",4
"building","building",4
"blast","blast",4
"betty","betty",4
"davis","davis",4
"barbie","barbie",4
"anne","anne",4
"agatha","agatha",4
"across","across",4
"pacific","pacific",4
"forget","forget",4
"focus","focus",4
"teen","teen",4
"trump","trump",4
"speed","speed",4
"incident","incident",4
"pain","pain",4
"blondie","blondie",4
"gods","gods",4
"left","left",4
"spy","spy",4
"birth","birth",4
"demons","demons",4
"widow","widow",4
"bed","bed",4
"dressed","dressed",4
"enough","enough",4
"boom","boom",4
"avenue","avenue",4
"dreaming","dreaming",4
"ray","ray",4
"range","range",4
"witch","witch",4
"route","route",4
"arthur","arthur",4
"smoke","smoke",4
"drive","drive",4
"wayne","wayne",4
"guy","guy",4
"civil","civil",4
"narasimha","narasimha",4
"raa","raa",4
"sye","sye",4
"swing","swing",4
"saaho","saaho",4
"rocky","rocky",4
"relaxing","relaxing",4
"griffin","griffin",4
"monkey","monkey",4
"bean","bean",4
"matt","matt",4
"boys’","boys’",4
"embassy","embassy",4
"magi","magi",4
"tensho","tensho",4
"finger","finger",4
"invisible","invisible",4
"mandel","mandel",4
"construction","construction",4
"joan","joan",4
"drugs","drugs",4
"craig","craig",4
"fabulous","fabulous",4
"sign","sign",4
"alonzo","alonzo",4
"bodden","bodden",4
"together","together",4
"austin","austin",4
"fan","fan",4
"taking","taking",4
"shot","shot",4
"yugioh","yugioh",4
"diamond","diamond",4
"message","message",4
"artist","artist",4
"nova","nova",4
"masters","masters",4
"valentine","valentine",4
"raju","raju",4
"hood","hood",4
"del","del",4
"surf","surf",4
"electric","electric",4
"johnny","johnny",4
"generation","generation",4
"fist","fist",4
"cruel","cruel",4
"juliet","juliet",4
"innocence","innocence",4
"evidence","evidence",4
"stalked","stalked",4
"operation","operation",4
"demon","demon",4
"icon","icon",4
"kratts","kratts",4
"sheep","sheep",4
"cool","cool",4
"shock","shock",4
"returns","returns",4
"travel","travel",4
"comes","comes",4
"mine","mine",4
"glory","glory",4
"searching","searching",4
"speaks","speaks",4
"manhattan","manhattan",4
"normal","normal",4
"mans","mans",4
"racing","racing",4
"dick","dick",4
"fast","fast",4
"gentle","gentle",4
"angry","angry",4
"jump","jump",4
"stanhope","stanhope",4
"anna","anna",4
"cannon","cannon",4
"bucket","bucket",4
"islands","islands",4
"aliens","aliens",4
"chan","chan",4
"rome","rome",4
"steins","steins",4
"lewis","lewis",4
"jake","jake",4
"dollar","dollar",4
"division","division",4
"tum","tum",4
"possessed","possessed",4
"judge","judge",4
"walter","walter",4
"east","east",4
"bang","bang",4
"monkeys","monkeys",4
"work","work",4
"pawn","pawn",4
"loaded","loaded",4
"brown","brown",4
"fools","fools",4
"quantum","quantum",4
"boston","boston",4
"sundance","sundance",4
"bird","bird",4
"within","within",4
"disaster","disaster",4
"triangle","triangle",4
"nevada","nevada",4
"something","something",4
"loving","loving",4
"frankenstein","frankenstein",4
"crooked","crooked",4
"eagle","eagle",4
"ladies","ladies",4
"mommas","mommas",4
"dracula","dracula",4
"underworld","underworld",4
"bowery","bowery",4
"feud","feud",4
"luck","luck",4
"lions","lions",4
"ring","ring",4
"arizona","arizona",4
"century","century",4
"kuch","kuch",4
"robocop","robocop",4
"broderick","broderick",4
"sundown","sundown",4
"seiya","seiya",4
"arm","arm",4
"mexican","mexican",3
"sense","sense",3
"outer","outer",3
"mark","mark",3
"mindfulness","mindfulness",3
"hain","hain",3
"loss","loss",3
"germany","germany",3
"april","april",3
"chai","chai",3
"concrete","concrete",3
"impact","impact",3
"allan","allan",3
"bone","bone",3
"reset","reset",3
"kickboxer","kickboxer",3
"butcher","butcher",3
"championship","championship",3
"contract","contract",3
"rich","rich",3
"sisters","sisters",3
"favourite","favourite",3
"cooking","cooking",3
"nizhal","nizhal",3
"african","african",3
"panic","panic",3
"rebel","rebel",3
"purple","purple",3
"prem","prem",3
"leo","leo",3
"healthy","healthy",3
"blackout","blackout",3
"think","think",3
"office","office",3
"shall","shall",3
"apart","apart",3
"president","president",3
"creative","creative",3
"victoria","victoria",3
"quiet","quiet",3
"crystal","crystal",3
"dare","dare",3
"feature","feature",3
"million","million",3
"miami","miami",3
"animation","animation",3
"legion","legion",3
"mayor","mayor",3
"smiley","smiley",3
"dying","dying",3
"damascus","damascus",3
"rev","rev",3
"nee","nee",3
"september","september",3
"legacy","legacy",3
"sin","sin",3
"rex","rex",3
"near","near",3
"store","store",3
"arjun","arjun",3
"boo","boo",3
"incredible","incredible",3
"giants","giants",3
"fog","fog",3
"parade","parade",3
"kate","kate",3
"endless","endless",3
"major","major",3
"talak","talak",3
"elephant","elephant",3
"someone","someone",3
"rhodes","rhodes",3
"crush","crush",3
"werewolf","werewolf",3
"steps","steps",3
"track","track",3
"beware","beware",3
"path","path",3
"thin","thin",3
"post","post",3
"ship","ship",3
"mud","mud",3
"chaplin","chaplin",3
"stealing","stealing",3
"restoration","restoration",3
"expedition","expedition",3
"zombies","zombies",3
"aka","aka",3
"creature","creature",3
"survive","survive",3
"said","said",3
"cure","cure",3
"court","court",3
"cinema","cinema",3
"tribute","tribute",3
"couple","couple",3
"boris","boris",3
"cup","cup",3
"europe","europe",3
"falcon","falcon",3
"kim","kim",3
"diaries","diaries",3
"reality","reality",3
"marie","marie",3
"calling","calling",3
"dread","dread",3
"loco","loco",3
"target","target",3
"dragons","dragons",3
"mask","mask",3
"auschwitz","auschwitz",3
"xray","xray",3
"beat","beat",3
"vida","vida",3
"mundo","mundo",3
"rated","rated",3
"fairytale","fairytale",3
"contact","contact",3
"ones","ones",3
"write","write",3
"jamie","jamie",3
"crude","crude",3
"dinner","dinner",3
"reading","reading",3
"commando","commando",3
"habit","habit",3
"honey","honey",3
"sunny","sunny",3
"news","news",3
"ten","ten",3
"murray","murray",3
"forward","forward",3
"explore","explore",3
"creepy","creepy",3
"chaos","chaos",3
"kindness","kindness",3
"spooky","spooky",3
"breaking","breaking",3
"roommate","roommate",3
"matters","matters",3
"parents","parents",3
"youth","youth",3
"pony","pony",3
"chinatown","chinatown",3
"undeniable","undeniable",3
"manor","manor",3
"pan","pan",3
"serious","serious",3
"hollow","hollow",3
"bunnies","bunnies",3
"trilogy","trilogy",3
"miniseries","miniseries",3
"duty","duty",3
"watch","watch",3
"wash","wash",3
"uncaged","uncaged",3
"turning","turning",3
"travels","travels",3
"walker","walker",3
"flower","flower",3
"playground","playground",3
"sometimes","sometimes",3
"dad","dad",3
"rob","rob",3
"pushpavalli","pushpavalli",3
"penguin","penguin",3
"nishabdham","nishabdham",3
"bit","bit",3
"greek","greek",3
"turbo","turbo",3
"brand","brand",3
"dumpty","dumpty",3
"lots","lots",3
"fly","fly",3
"virgin","virgin",3
"add","add",3
"jimmy","jimmy",3
"gaffigan","gaffigan",3
"pale","pale",3
"thief","thief",3
"beverly","beverly",3
"ferguson","ferguson",3
"fake","fake",3
"dana","dana",3
"darbar","darbar",3
"crown","crown",3
"carolina","carolina",3
"soon","soon",3
"breathe","breathe",3
"berlin","berlin",3
"save","save",3
"bubble","bubble",3
"caught","caught",3
"sai","sai",3
"christies","christies",3
"beginners","beginners",3
"legs","legs",3
"visualization","visualization",3
"counting","counting",3
"killers","killers",3
"shes","shes",3
"pudhu","pudhu",3
"concert","concert",3
"grows","grows",3
"myth","myth",3
"total","total",3
"tabata","tabata",3
"guilt","guilt",3
"happened","happened",3
"liza","liza",3
"jones","jones",3
"brazilian","brazilian",3
"ball","ball",3
"seed","seed",3
"exorcism","exorcism",3
"cooper","cooper",3
"overland","overland",3
"sleeper","sleeper",3
"eden","eden",3
"cloud","cloud",3
"dinosaurs","dinosaurs",3
"tooth","tooth",3
"cream","cream",3
"dolly","dolly",3
"josh","josh",3
"bath","bath",3
"encounters","encounters",3
"wont","wont",3
"host","host",3
"scream","scream",3
"gecko","gecko",3
"copper","copper",3
"fired","fired",3
"pay","pay",3
"deer","deer",3
"less","less",3
"pass","pass",3
"puppet","puppet",3
"stalker","stalker",3
"hit","hit",3
"eternal","eternal",3
"extinction","extinction",3
"drag","drag",3
"destiny","destiny",3
"summers","summers",3
"mia","mia",3
"danny","danny",3
"prayer","prayer",3
"trouble","trouble",3
"breathing","breathing",3
"yatra","yatra",3
"fever","fever",3
"tough","tough",3
"silk","silk",3
"francisco","francisco",3
"irish","irish",3
"extraordinary","extraordinary",3
"noah","noah",3
"size","size",3
"soccer","soccer",3
"storytime","storytime",3
"roses","roses",3
"canada","canada",3
"seeing","seeing",3
"sights","sights",3
"animated","animated",3
"nondialogue","nondialogue",3
